Date,Open,High,Low,Close
14-Aug-18,11921.32,11986.47,11906.14,11965.06
16-Aug-18,11952.06,11988,11900.78,11913.95
17-Aug-18,11982.35,12025.31,11971.42,12007.54
20-Aug-18,12046.5,12114.38,12041.15,12097
21-Aug-18,12123.03,12134.68,12084.33,12109.85
23-Aug-18,12150.17,12170.95,12096.39,12132.31
24-Aug-18,12142.87,12154.02,12077.56,12102.92
27-Aug-18,12171.3,12252.2,12156.02,12242.52
28-Aug-18,12282.18,12314.44,12264.4,12292.2
29-Aug-18,12320.28,12320.28,12228.53,12240.59
30-Aug-18,12263.69,12269.79,12193.98,12225.07
31-Aug-18,12233.55,12282.77,12202.08,12230.81
03-Sep-18,12312.9,12317.67,12119.51,12132.77
04-Sep-18,12174.64,12190.37,12040.62,12061.7
05-Sep-18,12072.38,12087.83,11928.44,12012.79
06-Sep-18,12058.38,12096.76,11971.69,12070.66
07-Sep-18,12096.99,12140.41,12020.02,12129.11
10-Sep-18,12119.13,12120.33,11964.78,11975.66
11-Sep-18,12010.4,12019.55,11792.11,11808.04
12-Sep-18,11844.43,11910.28,11775.45,11900.63
14-Sep-18,11969.77,12049.22,11961.67,12040.94
17-Sep-18,12019.78,12019.78,11885.72,11896.72
18-Sep-18,11917.37,11941.66,11784.39,11799.52
19-Sep-18,11848.04,11874.07,11727.76,11749.86
21-Sep-18,11801.8,11868.82,11348.85,11653.94
24-Sep-18,11686.53,11694.22,11446.11,11468.7
25-Sep-18,11479.82,11581.4,11380.77,11565.89
26-Sep-18,11661.29,11662.15,11490.14,11542.99
27-Sep-18,11587.8,11594.02,11446.19,11469.08
28-Sep-18,11511.14,11534.03,11340.2,11418.76
01-Oct-18,11434.2,11541.95,11323.23,11513.21
03-Oct-18,11532.02,11532.02,11337.49,11356.77
04-Oct-18,11304.87,11304.87,11028.32,11084.73
05-Oct-18,11041.24,11041.24,10742.65,10798.92
08-Oct-18,10808.56,10879.14,10672.45,10825.32
09-Oct-18,10878.3,10893.82,10749.89,10770.95
10-Oct-18,10833.01,10957.67,10792.82,10932.12
11-Oct-18,10704.66,10806.41,10602.52,10709.28
12-Oct-18,10803.15,10963.76,10801.36,10940.38
15-Oct-18,11018.07,11026.73,10886.83,10989.67
16-Oct-18,11035.37,11090.65,11006.08,11074.4
17-Oct-18,11189.48,11205.61,10919,10933.7
19-Oct-18,10875.7,10875.7,10728.3,10775.01
22-Oct-18,10885.01,10902.19,10704.35,10718.81
23-Oct-18,10654.76,10698.51,10582.45,10620.12
24-Oct-18,10734.1,10767.19,10604.3,10703.86
25-Oct-18,10626.12,10637.24,10549.07,10593
26-Oct-18,10617.5,10617.6,10471.79,10493.16
29-Oct-18,10557.03,10749.45,10492.3,10725.41
30-Oct-18,10733.91,10766.74,10652.71,10679.66
31-Oct-18,10701.97,10877.26,10587.09,10871.49
01-Nov-18,10936.33,10943.4,10827.98,10864.04
02-Nov-18,10963.02,11095.44,10940.88,11033.9
05-Nov-18,11063.23,11063.74,10964.58,11003.79
06-Nov-18,11040.89,11078.15,10969.69,11002.21
07-Nov-18,11095.42,11098.31,11065.71,11078.82
09-Nov-18,11091.27,11099.59,11018.9,11062.46
12-Nov-18,11097.33,11122.36,10936.67,10953.1
13-Nov-18,10963.56,11069.43,10913.36,11056.81
14-Nov-18,11115.55,11128.23,11010.84,11055.67
15-Nov-18,11055.62,11127.07,11038.67,11091.79
16-Nov-18,11131.1,11179.92,11111.18,11158.48
19-Nov-18,11215.77,11258.82,11173.67,11244.76
20-Nov-18,11236.45,11236.69,11125.47,11140.82
21-Nov-18,11162.87,11163.53,11041.27,11074.55
22-Nov-18,11100.42,11126.09,10991.31,11003.8
